,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_normalize,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
17,0.01856966018676758,0.0017361514445417487,0.0016485214233398437,0.00020869036311939077,1,True,lsqr,"{'alpha': 1, 'normalize': True, 'solver': 'lsqr'}",-481.32451683849865,-441.73703240728486,-438.31340151925696,-450.35316805891705,-449.33782270814083,-452.2131883064197,15.24566014772126,35,-443.8728594186046,-454.16501680401365,-453.3350222608352,-452.7834370517924,-453.11902385938583,-451.45507187892633,3.8184093796936582
18,0.016109657287597657,0.0005435066696176396,0.0014026165008544922,4.9307590687558925e-05,1,True,sparse_cg,"{'alpha': 1, 'normalize': True, 'solver': 'sparse_cg'}",-481.3245168380872,-441.7370324081741,-438.3134015190236,-450.35316805583153,-449.3378227086233,-452.213188305948,15.245660147541562,34,-443.87285941806545,-454.1650168052015,-453.3350222597391,-452.78343705034985,-453.11902385980255,-451.45507187863166,3.8184093799044034
19,0.10188603401184082,0.004933739099300878,0.001436328887939453,8.031070294102132e-05,1,True,sag,"{'alpha': 1, 'normalize': True, 'solver': 'sag'}",-481.3191241197733,-441.73117239299796,-438.2657571865936,-450.300715351809,-449.2949008514869,-452.1823339805322,15.256003320314168,33,-443.8430486573209,-454.1604446811842,-453.2989620824279,-452.7332934810233,-453.08262484389604,-451.42367474917046,3.8194167310491456
20,0.12088112831115723,0.005766979090775525,0.0013917446136474609,5.661898637170721e-05,1,True,saga,"{'alpha': 1, 'normalize': True, 'solver': 'saga'}",-481.32594906129907,-441.6940408119578,-438.25999881464804,-450.3248468221095,-449.28439190703193,-452.1778454834093,15.264561809034136,29,-443.85225384998114,-454.12583824347456,-453.2900293169028,-452.753792528384,-453.07555507343966,-451.4194938024364,3.8107536227322716
21,0.014522743225097657,0.0016688969908572786,0.0017731666564941406,0.00012026958049946162,1,False,auto,"{'alpha': 1, 'normalize': False, 'solver': 'auto'}",-333.37060844740085,-308.4325655477985,-309.14934592564083,-314.6651852247956,-302.2398759419589,-313.57151621751893,10.654300919682447,5,-305.4067163055086,-311.58200362986645,-311.49472143867763,-310.0426353441008,-312.85547657852874,-310.27631065933645,2.59264379053551
22,0.05060257911682129,0.0012390958365758192,0.001907014846801758,7.384460407575752e-05,1,False,svd,"{'alpha': 1, 'normalize': False, 'solver': 'svd'}",-333.3706084474043,-308.43256554779526,-309.14934592560684,-314.6651852248105,-302.23987594194716,-313.5715162175128,10.654300919689678,4,-305.40671630550713,-311.5820036298656,-311.4947214386766,-310.0426353441003,-312.85547657852925,-310.27631065933576,2.5926437905359943
23,0.016771602630615234,0.0005222862586822458,0.0018369674682617188,4.137380585009542e-05,1,False,cholesky,"{'alpha': 1, 'normalize': False, 'solver': 'cholesky'}",-333.37060844740085,-308.4325655477985,-309.14934592564083,-314.6651852247956,-302.2398759419589,-313.57151621751893,10.654300919682447,5,-305.4067163055086,-311.58200362986645,-311.49472143867763,-310.0426353441008,-312.85547657852874,-310.27631065933645,2.59264379053551
24,0.02156200408935547,0.001780927749022982,0.0017730712890625,9.838947505540271e-05,1,False,lsqr,"{'alpha': 1, 'normalize': False, 'solver': 'lsqr'}",-475.989220408763,-439.84988723125275,-444.1765193025271,-446.7546827814365,-443.4466976309762,-450.0434014709911,13.159374844254007,27,-442.91678553642674,-452.9957267435772,-449.37228692776466,-448.6454450872168,-449.64576828627787,-448.7152025162526,3.2633450877204644
25,0.02840909957885742,0.008169768079663865,0.0020467758178710936,0.0005091857629726837,1,False,sparse_cg,"{'alpha': 1, 'normalize': False, 'solver': 'sparse_cg'}",-408.56488380102013,-379.29750060207755,-396.03943640662226,-393.4375691746766,-376.95647707333995,-390.8591734115473,11.60976031992899,19,-379.8888064953006,-395.59461474871006,-393.14968168534216,-393.846263230467,-387.5547521994918,-390.0068236718623,5.731128821207613
26,4.182837343215942,0.09730478191490848,0.0013570308685302735,3.576386767979424e-05,1,False,sag,"{'alpha': 1, 'normalize': False, 'solver': 'sag'}",-426.13643002917246,-389.69977514570604,-401.1869759928758,-401.6590464132038,-397.72796779240304,-403.28203907467224,12.203869727604046,22,-395.4988579975262,-405.262822744707,-401.9875165073491,-402.47966972167967,-405.1089570991126,-402.0675648140749,3.5435543654023194
