,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_positive,param_selection,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
16,0.2868475914001465,0.22644818542141162,0.0015799999237060547,2.7902919909083263e-05,0.001,True,random,0.1,"{'alpha': 0.001, 'positive': True, 'selection': 'random', 'tol': 0.1}",-521.6519199769639,-485.49268082974794,-495.2226608424016,-499.7375910938222,-500.84611346177763,-500.5901932409427,11.84174010641261,57,-494.4045834303219,-503.4197971668373,-501.0224559670035,-499.8571527134775,-499.5586236416556,-499.6525225838592,2.955017127474239
17,0.01447300910949707,0.0009500559518699332,0.001827096939086914,2.0344580207756606e-05,0.001,True,random,1,"{'alpha': 0.001, 'positive': True, 'selection': 'random', 'tol': 1}",-593.1515780484381,-550.2390599373322,-568.4231358720428,-533.2671009636896,-564.2986069963181,-561.8758963635642,19.903684448301348,73,-567.6711429132143,-575.5228664156564,-575.077659318602,-535.2665826338748,-563.7565021138879,-563.4589506790471,14.786298858194922
18,1.7504627227783203,0.019868917833584535,0.001791524887084961,6.879826612578031e-05,0.001,False,cyclic,0.01,"{'alpha': 0.001, 'positive': False, 'selection': 'cyclic', 'tol': 0.01}",-334.9222931176751,-309.41449544363405,-311.43710909738235,-317.91683224888016,-304.2150186592233,-315.58114971335897,10.620027059683308,11,-307.3817849863009,-313.8885396279886,-313.45426963546726,-311.80377906861594,-315.29553663108913,-312.3647819898924,2.7292169885113844
19,1.9060215950012207,0.11163141124669211,0.001839017868041992,4.4398020754764936e-05,0.001,False,cyclic,0.1,"{'alpha': 0.001, 'positive': False, 'selection': 'cyclic', 'tol': 0.1}",-334.9222931176751,-309.41449544363405,-311.43710909738235,-317.91683224888016,-304.2150186592233,-315.58114971335897,10.620027059683308,11,-307.3817849863009,-313.8885396279886,-313.45426963546726,-311.80377906861594,-315.29553663108913,-312.3647819898924,2.7292169885113844
20,0.01667056083679199,0.0002878832460773668,0.0018795967102050782,0.00011813659600589987,0.001,False,cyclic,1,"{'alpha': 0.001, 'positive': False, 'selection': 'cyclic', 'tol': 1}",-475.6912622894294,-428.47639461703216,-435.48617158389186,-434.32412305329683,-433.7568614511587,-441.54696259896184,17.24100474709341,34,-432.57724690106045,-443.8551929010695,-441.8516565610876,-441.80991933697027,-442.2455792673173,-440.46791899350103,4.015273371073036
21,2.263260555267334,0.2374791662611744,0.0019280433654785157,0.00013069708991033565,0.001,False,random,0.01,"{'alpha': 0.001, 'positive': False, 'selection': 'random', 'tol': 0.01}",-335.0488343031242,-309.2904579851676,-311.3479088430359,-317.16743843218006,-303.5480048632407,-315.28052888534967,10.801341550419677,2,-307.38850395917814,-313.7601040522814,-313.3491279191744,-311.66979232580246,-315.00465064183254,-312.23443577965384,2.6474958003865936
22,2.0920604705810546,0.02674131041207773,0.0019304752349853516,0.00019598111618766232,0.001,False,random,0.1,"{'alpha': 0.001, 'positive': False, 'selection': 'random', 'tol': 0.1}",-335.08863449713806,-309.38405179608793,-311.46336514610243,-316.96690672354816,-303.65454780923073,-315.31150119442145,10.767569259400858,6,-307.46900149598287,-313.71638535749184,-313.37071970144626,-311.5870720933179,-314.9780226891249,-312.22424026747274,2.6131402084093796
23,0.016626310348510743,0.0008354192781664106,0.0018874168395996093,5.7605520666939835e-05,0.001,False,random,1,"{'alpha': 0.001, 'positive': False, 'selection': 'random', 'tol': 1}",-476.37991516789015,-427.0429478938849,-404.27279628663644,-430.956184514725,-438.22589801786904,-435.3755483762011,23.434277391675913,29,-446.3489050092263,-436.0124066799767,-410.37106958063987,-439.96056096860934,-445.00255919525824,-435.5391002867421,13.111918515441552
24,0.082647705078125,0.011819710588260311,0.0018388748168945313,0.00013483504685445188,0.01,True,cyclic,0.01,"{'alpha': 0.01, 'positive': True, 'selection': 'cyclic', 'tol': 0.01}",-521.6888275075192,-485.4769881561214,-495.1653404742593,-499.75293253406676,-500.8571908651411,-500.5882559074216,11.863917041577107,47,-494.4065656815171,-503.4220856393707,-501.0247494486863,-499.8594314664711,-499.5608488767178,-499.6547362225526,2.955126625800135
25,0.06562318801879882,0.007735544380446848,0.001912832260131836,4.64734017293782e-05,0.01,True,cyclic,0.1,"{'alpha': 0.01, 'positive': True, 'selection': 'cyclic', 'tol': 0.1}",-521.7466258999269,-485.478317583643,-495.163260353821,-499.752933507632,-500.8585957763513,-500.5999466242748,11.884339253292548,58,-494.40753248130187,-503.42239805852745,-501.02478233752765,-499.85950243102087,-499.5606372010911,-499.6549705018938,2.9548682786598692
26,0.015700149536132812,0.0005895603401138845,0.001993894577026367,0.0001457505640156603,0.01,True,cyclic,1,"{'alpha': 0.01, 'positive': True, 'selection': 'cyclic', 'tol': 1}",-618.9031544560553,-571.5480415823274,-594.0325611788991,-587.1729168912112,-591.4022472678987,-592.6117842752783,15.283849432790438,81,-585.1172459854074,-596.597306111726,-595.3502284264498,-590.6725660717555,-590.9345634813689,-591.7343820153416,4.0565016469838415
